Название,Цена
Lenovo IdeaPad S340-14 Abyss Blue (81NB009JRA),13 622
Acer Aspire 1 A114-31-C5UB (NX.SHXEU.008),5 543
"Apple MacBook Air 13"" Gold 2019 (MVFN2)",30 426
MSI GP65 Leopard 9SE (GP659SE-427XUA),49 308
HP Pavilion Gaming 15-dk0040ur Black (7QA83EA),25 964
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00B7RA),29 492
ASUS ZenBook Pro Duo 15 UX581GV Celestial Blue (UX581GV-H2002T),76 432
Acer Aspire 5 A515-54G (NX.HN5EU.019),19 064
HP Pavilion Gaming 17-cd0030nr (6QX97UA),32 874
Vinga Iron S140 (S140-P508256G),9 527
Acer Aspire 5 A515-54G-57D1 Silver (NX.HN5EU.00G),"17 499,00 грн"
Google Pixelbook Go (GA00526-US),30 402
HP Pavilion 15-cw1013ua Silver (8RV27EA),17 501
Alienware 17 R5 (AW17R5-7798SLV-PUS),43 911
HP 15s-fq1021ur Silver (9PN14EA),15 988
Dell Inspiron 3593 (3593Fi34S2IUHD-WPS),13 100
HP Stream 11-ak1012dx (6RC04UA),4 981
"Apple MacBook Pro 13"" with Retina display (MF840) 2015",30 123
HP ProBook 430 G2 (K3R10AV),"5 999,00 грн"
"Apple MacBook Air 13"" Silver 2018 (MREA2, 5REA2)",26 293
HP 15-ra047ur (3QT61EA),6 279
HP 255 G7 Dark Ash Silver (6BP86ES),9 023
Lenovo ThinkPad X395 (20NL0007US),21 061
Lenovo ThinkPad E595 (20NF001YRT),18 834
ASUS ZenBook 15 UX534FT Royal Blue (UX534FT-A9032T),35 293
Acer Predator Helios 300 PH315-52-72EV (NH.Q54AA.001),39 974
ASUS ROG Strix G G531GT Black (G531GT-BQ002),26 445
Lenovo IdeaPad S340-14 Abyss Blue (81NB009HRA),"12 999,00 грн"
Prestigio Smartbook 141 C3 Dark Gray (PSB141C03BFH_DG_CIS),4 477
HP 15-ra003ur Black (8UP10EA),5 700
ASUS TUF Gaming FX505GD (FX505GD-BQ138T),23 945
"Apple MacBook 12"" Space Gray (MNYF2) 2017",27 481
Xiaomi Mi Gaming Laptop 15.6 (JYU4084CN),35 672
Lenovo Legion Y540-17 (81Q40008US),42 893
Vinga Iron S140 (S140-P508256G),9 527
ASUS Vivobook 15 F512DA Slate Gray (F512DA-EB55),16 276
Xiaomi Mi Notebook Pro 15.6 2019 Intel Core i5 8/256Gb/MX250 (JYU4119CN),"25 499,00 грн"
YEPO 737A8 N4100 8/256 Silver (YP-102370),8 496
Xiaomi Mi Notebook Lite 15.6 2019 Intel Core i5 8/256Gb MX110 Deep Gray...,17 859
Samsung Chromebook 4+ (XE350XBA-K01US),8 274
Lenovo IdeaPad S540-14API (81NH0052RA),19 480
Lenovo IdeaPad 330S-15 Platinum Gray (81F501KFRA),12 458
HP Pavilion Gaming 15 Black (8RU06EA),"22 999,00 грн"
Acer Aspire 3 A315-34-P2G1 Black (NX.HE3EU.027),8 521
ASUS ROG Zephyrus S GX531GWR (GX531GWR-AZ044R),53 133
"Apple MacBook Pro 13"" with Retina display (ME865) 2013",16 739
Lenovo Legion Y740-15ICHG (81HE005XUS),37 744
Lenovo IdeaPad 720S-14IKB (81BD000SUS),22 228
Lenovo IdeaPad L340-15 Gaming (81LK00G3RA),21 601
HP 255 G7 Dark Ash Silver (8MJ06EA),7 935
ASUS VivoBook S14 S403FA Silver Blue (S403FA-EB237),"14 999,00 грн"
HP ProBook 450 G6 (4SZ45AV),26 929
MSI GP75 Leopard 10SEK Black (GP7510SEK-017XUA),52 426
HP ProBook 450 G7 (8VU61EA),33 763
"Apple MacBook Air 13"" Space Gray 2020 (Z0YJ0002W)",56 832
Acer Predator Triton 500 PT515-51 Black (NH.Q4WEU.027),88 256
Lenovo Yoga 730-15IKB (81CU000UUS),22 373
ASUS ROG Strix GL703GE (GL703GE-ES73),26 971
ASUS X543UA Gray (X543UA-DM2580),8 321
Vinga Iron S140 (S140-P508256G),9 527
Lenovo IdeaPad L340-15IRH Gaming Black (81LK00CBRA),21 867
Lenovo Legion Y540-15 (81SX00EARA),32 691
ASUS X543UA Silver (X543UA-DM1899),7 972
Lenovo IdeaPad S145-15IWL Black (81MV01DJRA),7 844
HP 255 G7 (9HQ69EA),13 237
ASUS VivoBook S15 S532FL Silver (S532FL-BN186T),37 777
ASUS VivoBook S14 S432FL Silver (S432FL-AM103T),29 099
GIGABYTE AERO 15 Classic-SA-F74ADW,41 399
Acer Aspire 3 A315-56 (NX.HS5EU.00L),11 708
MSI GP75 Leopard 10SFK Black (GP7510SFK-016XUA),64 201
Acer Aspire 3 A315-34-P462 Blue (NX.HE3EU.03N),7 143
MSI GP65 Leopard 10SEK (GP6510SEK-028XUA),45 056
Samsung Notebook 9 Pen 15 (NP950SBE-K01US),32 730
ASUS ROG Strix SCAR II GL704GV (GL704GV-EV008T),43 015
ASUS TUF Gaming FX705DU (FX705DU-AU076T),"33 950,00 грн"
"Apple MacBook Pro 15"" Silver 2018 (MR962, 5R962)",56 884
ASUS VivoBook 15 X512UA Blue (X512UA-EJ245),8 541
ASUS X543UA Silver (X543UA-DM2054),8 849
Xiaomi Mi Notebook Lite 15.6 2019 Intel Core i5 8/256Gb Intel UHD Graphics...,17 361
